date,author_name,content
Tue Mar 31 05:09:20 +0000 2026,FinancialJuice,Iran executes two men convicted of links with opposition group and armed attack on government building : judiciary outlet
Tue Mar 31 01:01:43 +0000 2026,FinancialJuice,https://t.co/Oe1HG8Z3Uj
Tue Mar 31 00:49:45 +0000 2026,FinancialJuice,Trump told aides he is willing to end the US military campaign against Iran even if the Strait of Hormuz remains largely closed - WSJ
Sun Mar 29 23:55:02 +0000 2026,FinancialJuice,Trump: US could seize the export hub of Kharg Island - FT
Sun Mar 29 23:54:34 +0000 2026,FinancialJuice,🔴 Trump: US could take the oil in Iran - FT
Sun Mar 29 23:52:40 +0000 2026,FinancialJuice,https://t.co/A8Kp0saVYD
Sun Mar 29 23:51:43 +0000 2026,FinancialJuice,🔴 Trump weighs military operation to extract Iran’s uranium - WSJ
Sun Mar 29 22:23:21 +0000 2026,FinancialJuice,Israeli military intercepted two drones launched from Yemen.
Sun Mar 29 22:10:22 +0000 2026,FinancialJuice,Tanker transporting Russian crude enters Cuba's exclusive economic zone - Ship tracking data
Sun Mar 29 22:07:02 +0000 2026,FinancialJuice,"No hazardous, toxic, or polluting substances released from petrochemical plant after attack - Iranian state media"
Sun Mar 29 22:06:47 +0000 2026,FinancialJuice,"Petrochemical plant targeted in northwestern Tabriz city, Iran - state media reports"
Sun Mar 29 19:37:37 +0000 2026,FinancialJuice,"Power restored to most areas of Tehran and Karaj, Iran - Fars News Agency"
Sun Mar 29 19:37:26 +0000 2026,FinancialJuice,🔴 Electricity cut in parts of Tehran following attacks on infrastructure - Nour News
Sun Mar 29 17:44:41 +0000 2026,FinancialJuice,"Another US Official on whether there would be a ground operation and, if so, which one: All options are on the table - Israel's i24 News"
Sun Mar 29 17:41:55 +0000 2026,FinancialJuice,"US official: By the start of next week, there'll be enough forces to allow for a significant ground operation against Iran - Israel's i24 News"
Sun Mar 29 17:33:03 +0000 2026,FinancialJuice,🔴 Israel is expected to propose to US to examine the establishment of bases in the nation - Israel's N12 News
Sun Mar 29 17:10:10 +0000 2026,FinancialJuice,"A plan for a management consortium had been discussed with US and Iran, according to sources."
Sun Mar 29 17:09:06 +0000 2026,FinancialJuice,"Nations meeting in Pakistan ​have floated suggestions to US tied to maritime traffic and reopening the Strait of Hormuz, ⁠5 sources familiar the matter."
Sun Mar 29 17:07:46 +0000 2026,FinancialJuice,"🔴 Saudi Arabia, Turkey and ⁠Egypt could create a consortium to manage oil flows through Strait of Hormuz, and had asked Pakistan to participate -    Pakistani sources"
Sun Mar 29 17:05:02 +0000 2026,FinancialJuice,🔴Pakistan Foreign Minister confirms Iran-US talks may take place in Islamabad in the coming days.
Sun Mar 29 16:53:10 +0000 2026,FinancialJuice,Pakistan Foreign Minister: China supports Pakistan's initiative to host Iran-US talks
Sun Mar 29 16:52:51 +0000 2026,FinancialJuice,Pakistan Foreign Minister: Pakistan is very happy that both Iran and US have expressed their confidence in Pakistan to facilitate talks.
Sun Mar 29 16:52:28 +0000 2026,FinancialJuice,Pakistan Foreign Minister Ishaq Dar: We discussed possible ways to bring an early and permanent end to the war in the region.
Sun Mar 29 16:52:00 +0000 2026,FinancialJuice,Pakistan Foreign Minister: Briefed ministers and delegates regarding the potential US-Iran talks in Islamabad.
Sun Mar 29 16:51:38 +0000 2026,FinancialJuice,Israel's Prime Minister Netanyahu instructs further expansion of the existing security buffer zone in southern Lebanon.
Sun Mar 29 09:31:55 +0000 2026,FinancialJuice,Iran's Ghalibaf: Iranian armed forces are waiting for US land arrival and to punish their regional partners - state media
Sun Mar 29 00:54:34 +0000 2026,FinancialJuice,"One person, as per the report, said that the objectives under consideration would probably take ""weeks, not months"" to complete. Another put the potential timeline at ""a couple of months.”"
Sun Mar 29 00:54:03 +0000 2026,FinancialJuice,"Talks in the administration the past month touched upon possible seizure of Kharg Island, key Iranian oil export hub, and raids into other coastal areas near the Strait of Hormuz to find and destroy weapons that can target commercial and military shipping, officials said."
Sun Mar 29 00:50:21 +0000 2026,FinancialJuice,"Any potential ground operation would fall short of a full-scale invasion and could instead involve raids by a mixture of Special Operations forces and conventional infantry troops, said the officials - Washington Post"
Sun Mar 29 00:47:47 +0000 2026,FinancialJuice,https://t.co/xeLT7BIWS7
Sun Mar 29 00:46:16 +0000 2026,FinancialJuice,⚠ BREAKING: Pentagon prepares for weeks of ground operations in Iran - Washington Post
Sat Mar 28 20:55:27 +0000 2026,FinancialJuice,"US Official: Expeditionary force of 2,500 US Marines from the 31st Marine Expeditionary Unit, along with 2,500 sailors, arrived in the Middle East aboard the USS Tripoli - NYT."
Sat Mar 28 20:29:11 +0000 2026,FinancialJuice,"Additional info about Pakistan's imports through Hormuz: Pakistan’s largest oil refiner, Cnergyico Pk, says about 80% of the country’s crude oil imports and nearly 25% of its gasoil supplies typically transit through the Strait of Hormuz."
Sat Mar 28 20:18:07 +0000 2026,FinancialJuice,Yemen's Houthis: We will continue carrying out military operations in the coming days
Sat Mar 28 20:17:07 +0000 2026,FinancialJuice,Yemen's Houthis: We carried out a second attack on Israel on Saturday with missiles and drones.
Sat Mar 28 20:09:55 +0000 2026,FinancialJuice,Now 53% of the vote
Sat Mar 28 20:03:33 +0000 2026,FinancialJuice,Vance wins CPAC straw poll as 2028 Republican presidential nominee with 38% of vote
Sat Mar 28 19:11:45 +0000 2026,FinancialJuice,"🔴 Pakistan's Ishaq Dar: Iran has agreed to allow 20 additional ships under Pakistani flag to pass through Strait of Hormuz, two ships daily"
Sat Mar 28 19:09:25 +0000 2026,FinancialJuice,🔴 Water reservoir of Iran's southwestern town of Haftkel targeted in US-Israeli air attack - local official tells state news agency IRNA
Sat Mar 28 18:20:35 +0000 2026,FinancialJuice,Houthi fired second missile at Israel Saturday intercepted according to Israeli security official - WSJ
Sat Mar 28 15:53:56 +0000 2026,FinancialJuice,US sailors and Marines aboard USS Tripoli arrived in the US CENTCOM.
Sat Mar 28 15:37:49 +0000 2026,FinancialJuice,Yemen's Houthis: Operations will continue until goals are reached.
Sat Mar 28 15:36:09 +0000 2026,FinancialJuice,"Yemen's Houthis: Attack on Israel follows continued targeting of infrastructure in Iran, Lebanon, Iraq and Palestinian territories."
Sat Mar 28 15:35:55 +0000 2026,FinancialJuice,🔴 Yemen's Houthis confirm they launched missile against Israel
Sat Mar 28 15:33:54 +0000 2026,FinancialJuice,"Iran's President Pezeshkian: To the countries of the region, if you want development and security, do not let our enemies run the war from your lands - post on X"
Sat Mar 28 15:32:39 +0000 2026,FinancialJuice,Ukraine foreign ministry denies Iran statement that it destroyed Ukrainian air defence depot in Dubai
Sat Mar 28 15:32:33 +0000 2026,FinancialJuice,IRGC: Missiles destroyed Ukrainian air-defense depot in Dubai - Fars News Agency
Sat Mar 28 15:31:37 +0000 2026,FinancialJuice,Ukraine Qatar defense agreement includes exchange of expertise in countering missiles and unmanned aerial systems
Sat Mar 28 15:31:23 +0000 2026,FinancialJuice,Ukraine and Qatar sign defense cooperation agreement - Qatari Defence Ministry
Sat Mar 28 15:30:31 +0000 2026,FinancialJuice,🔴 Saudi Arabia also exporting about 700k to 900k barrels a day of oil products today
Sat Mar 28 15:30:14 +0000 2026,FinancialJuice,🔴 Saudi Arabia's east-west pipeline that circumvents Strait of Hormuz is pumping oil at full capacity of 7 mln barrels a day.
Mon Mar 30 22:05:49 +0000 2026,FinancialJuice,Israel's Prime Minister Netanyahu on Iran war: I do not put a schedule on it - Newsmax interview
Mon Mar 30 20:29:50 +0000 2026,FinancialJuice,Iran’s Foreign Minister Araghchi to Saudis: High time to eject US forces.
Mon Mar 30 20:28:58 +0000 2026,FinancialJuice,"Iran’s Foreign Minister Araghchi: Our operations are aimed at enemy aggressors who have no respect for Arabs or Iranians, nor can provide any security."
Mon Mar 30 20:20:31 +0000 2026,FinancialJuice,"Fed's Williams: There's a lot of uncertainty, but the economy has been more resilient than expected."
Mon Mar 30 20:10:06 +0000 2026,FinancialJuice,Fed's Williams: War could both increase inflation and depress growth.
Mon Mar 30 20:09:17 +0000 2026,FinancialJuice,"Fed's Williams: Tariffs and Iran war will increase headline inflation.

Williams expects higher headline inflation in the near term due to war and tariffs

Fed's Williams expects US GDP to be 2.5% this year amid help from various factors.

Fed's Williams: No signs of second-round inflation impact from tariffs.

Fed's Williams: Job market is sending mixed signals"
Mon Mar 30 19:59:33 +0000 2026,FinancialJuice,Iranian Oil Minister: We have taken the necessary measures regarding fuel supplies and will not face any problems - IRNA
Mon Mar 30 19:53:53 +0000 2026,FinancialJuice,European Officials: Divisions among Houthis on next steps in Iran war.
Mon Mar 30 19:53:13 +0000 2026,FinancialJuice,🔴 European Officials: Iran presses Houthis on Red Sea shipping.
Mon Mar 30 19:50:40 +0000 2026,FinancialJuice,"MOC Imbalance

S&amp;P 500: -316 mln
Nasdaq 100: -337 mln
Dow 30: +142 mln
Mag 7: -51 mln"
Mon Mar 30 19:22:44 +0000 2026,FinancialJuice,"Tuesday FX Options Expiry
https://t.co/RJZYTp0OmR"
Mon Mar 30 19:17:47 +0000 2026,FinancialJuice,IDF: We targeted infrastructure in the heart of Tehran.
Mon Mar 30 19:13:11 +0000 2026,FinancialJuice,"BlackRock's Rieder: Fed should cut rates, and I think they will - CNBC Interview."
Mon Mar 30 18:59:02 +0000 2026,FinancialJuice,"Iran's First Vice President: Trump can make the decision to send his troops to Kharg Island, but the decision to bring them back is not in his hands. https://t.co/BSBcS0Q8uC"
Mon Mar 30 18:50:09 +0000 2026,FinancialJuice,"Brent Crude futures settle at $112.78/bbl, up 21 cents, 0.19%"
Mon Mar 30 18:32:39 +0000 2026,FinancialJuice,"NYMEX WTI Crude May futures settle at $102.88 a barrel up $3.24, 3.25%

NYMEX Gasoline Apr. futures settle at $3.3515 a gallon

NYMEX Diesel Apr. futures settle at $4.3643 a gallon

NYMEX Nat Gas May futures settle at $2.8870/MMBTU"
Mon Mar 30 18:05:52 +0000 2026,FinancialJuice,"SPX Spot-Vol Beta: -0.82

This gauge measures how implied volatility (via the VIX) is reacting relative to the S&P 500’s price move. A reading of -0.82 suggests volatility is under-reacting, meaning options traders are not aggressively bidding up protection despite the underlying market move. This points to a relatively muted demand for hedging compared to the price action.

Spot-vol beta reflects how much volatility is over- or under-reacting to changes in the S&P 500’s spot price.

Source: https://t.co/wR9hqXIoUG"
Mon Mar 30 17:59:31 +0000 2026,FinancialJuice,White House Press Secretary Leavitt ends the news briefing.
Mon Mar 30 17:59:24 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Trump wants Congress in session to end DHS shutdown.
Mon Mar 30 17:58:00 +0000 2026,FinancialJuice,Drone targets US diplomatic facility near Iraq's Baghdad airport - Security Sources
Mon Mar 30 17:56:39 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: The US allowed a Russian tanker to supply Cuba for humanitarian reasons.
Mon Mar 30 17:55:19 +0000 2026,FinancialJuice,🔴 Iran's parliament approves bill to impose fees on the Hormuz Strait.
Mon Mar 30 17:54:40 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Identifying Iranian leadership is part of diplomacy.
Mon Mar 30 17:54:07 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Iran's leadership is very fragmented.
Mon Mar 30 17:50:37 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Trump wants to see a deal before the April 6th deadline.
Mon Mar 30 17:50:30 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: US allowed a Russian tanker to supply Cuba for humanitarian reasons.
Mon Mar 30 17:50:22 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Cuba decisions are being made on a case-by-case basis.
Mon Mar 30 17:50:14 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Iran has agreed to some US points in private talks.
Mon Mar 30 17:50:07 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Iran's best move is to make a deal or face consequences.
Mon Mar 30 17:50:01 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Trump expects the Iranian regime to make a deal with the US.
Mon Mar 30 17:44:17 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Trump has declined to rule out Iran ground operations.
Mon Mar 30 17:43:22 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Four-to-six week timeline for Iran war remains.
Mon Mar 30 17:43:15 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Expect to see 20 tankers transit the Strait of Hormuz in the coming days.
Mon Mar 30 17:43:08 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: The US does not support Iran's tolling of the Strait of Hormuz shipping.
Mon Mar 30 17:42:32 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Expect cabinet officials to travel to China ahead of Trump's visit.
Mon Mar 30 17:39:33 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Trump would be interested in calling on Arab countries to help pay for the cost of the war.
Mon Mar 30 17:38:33 +0000 2026,FinancialJuice,WH Press Sec. Leavitt reiterates Pentagon estimate of 4-6 weeks for Iran war.
Mon Mar 30 17:36:17 +0000 2026,FinancialJuice,WH Press Sec. Leavitt on new Iranian regime: Appears more reasonable privately.
Mon Mar 30 17:35:04 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: Anything Iran tells us privately will be tested.
Mon Mar 30 17:34:29 +0000 2026,FinancialJuice,"Fitch Ratings: Most North American carriers have not fully hedged their fuel exposure, leaving them vulnerable to sustained price increases."
Mon Mar 30 17:34:02 +0000 2026,FinancialJuice,Fitch Ratings: Prolonged Iran war raises demand risks for US corporates.
Mon Mar 30 17:29:33 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: What is stated publicly differs from what is conveyed to us privately.
Mon Mar 30 17:29:26 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: The US is seeing the remaining elements of Iran eager for talks; talks with Iran are continuing and ongoing well.
Mon Mar 30 17:27:31 +0000 2026,FinancialJuice,WH Press Sec. Leavitt: The US is increasing its leverage over Iran with each strike.
Mon Mar 30 17:21:38 +0000 2026,FinancialJuice,US Secretary of State Rubio: War in Iran will be over when the US achieves its objectives.
Mon Mar 30 17:21:20 +0000 2026,FinancialJuice,"Israeli Broadcasting Authority, quoting a security Official: The army is providing Washington with information regarding a possible ground operation in the Strait of Hormuz."
Mon Mar 30 17:21:11 +0000 2026,FinancialJuice,Iranian Foreign Ministry: Ships from friendly and non-hostile countries are crossing the Strait of Hormuz in coordination with the relevant Iranian authorities - Al Jazeera
Mon Mar 30 17:21:02 +0000 2026,FinancialJuice,US Secretary of State Rubio: All of it will have to be reexamined after the Iran war.
Mon Mar 30 17:20:47 +0000 2026,FinancialJuice,US Secretary of State Rubio: The US is disappointed in NATO over Iran war cooperation.
Mon Mar 30 17:20:39 +0000 2026,FinancialJuice,Israeli Channel 12: Israel's Prime Minister Netanyahu is trying to convince Trump not to make concessions in the negotiations.
Mon Mar 30 17:04:52 +0000 2026,FinancialJuice,Three engineers' orders given to operate Libya's El Feel oilfield following suspension on March 17th. - Sources
Mon Mar 30 17:03:38 +0000 2026,FinancialJuice,"SPX Greek Hedging
Greek Hedging (SPX) estimates the day’s dealer rebalancing flows implied by the current options book  essentially how much trading may be required for dealers to remain hedged as prices and volatility move.

Here the dominant signal is Delta hedging ($81.7B), pointing to extremely large price-linked hedging activity that may require dealers to buy underlying exposure as prices move, reinforcing directional momentum. Vega hedging ($3.60B) indicates meaningful sensitivity to changes in implied volatility, suggesting volatility shifts could also drive additional hedging flows. Theta ($64.8M) represents the steady impact from time decay, modest relative to the larger delta and vega dynamics.

Source - https://t.co/g5RjUBZDbK"
Mon Mar 30 16:52:51 +0000 2026,FinancialJuice,"Netanyahu said in closed-door discussions that any potential US-Iranian deal will not stop the fighting with Hezbollah - Israel Hayom, citing sources"
Mon Mar 30 16:38:40 +0000 2026,FinancialJuice,Ukraine grain export model floated as Hormuz fertilizer solution - WSJ
Mon Mar 30 16:18:15 +0000 2026,FinancialJuice,Iran's Foreign Minister Spokesperson urges regional states to remember which side started the war.
Mon Mar 30 16:17:12 +0000 2026,FinancialJuice,Iran Foreign Minister Spokesperson: Iran not participating in Pakistan-led meetings concerning war.
Mon Mar 30 16:16:55 +0000 2026,FinancialJuice,"Iran Foreign Minister Spokesperson: Iran received messages through intermediaries about US seeking discussions, but dismissed the demands as excessive &amp; illogical."
Mon Mar 30 16:04:28 +0000 2026,FinancialJuice,Musk: Tesla is making a big investment in Japan with service &amp; superchargers. $TSLA
Mon Mar 30 16:02:24 +0000 2026,FinancialJuice,"Volland SPX Dealer Premium: $385.12B
This widget shows the total option premium dealers have collected from open positions. Net dealer premium stands at roughly $385.12B, marking an exceptionally large premium cushion embedded across SPX options positioning.

0DTE premium is about $4.37B today, reflecting elevated same-day options activity that can increase intraday market sensitivity and flow-driven volatility.

Net premiums collected by dealers from all open positions / 0DTE premiums represent the total premiums collected by dealers today @wizofops
Source: https://t.co/wR9hqXIoUG"
Mon Mar 30 15:57:18 +0000 2026,FinancialJuice,"A decent video giving a summary of the Iran conflict and potential scenarios for anyone interested
https://t.co/xTCp4OEQuO"
Mon Mar 30 15:54:42 +0000 2026,FinancialJuice,Iran’s top Military Headquarters Spox: Israel struck a desalination plant in Kuwait in an attempt to falsely blame Tehran.
Mon Mar 30 15:52:04 +0000 2026,FinancialJuice,NATO Spokesperson on Iranian missile intercepted heading for Turkey: NATO ready for such threats and will always do what is necessary to defend all allies.
Mon Mar 30 15:43:27 +0000 2026,FinancialJuice,UK's PM Starmer: There's a coalition of 35 countries for de-escalation.
Mon Mar 30 15:37:04 +0000 2026,FinancialJuice,"Google Maps simplifies battery predictions and trip planning for 350+ Android Auto EV models - Blog $GOOGL 
https://t.co/Enlr2v1P1W"
Mon Mar 30 15:34:57 +0000 2026,FinancialJuice,"US 6-Month Bill Auction

High Yield 3.605%
Bid-to-cover 2.83
Sells $77 bln
Awards 20.82% of bids at high"
Mon Mar 30 15:34:20 +0000 2026,FinancialJuice,"US 3-Month Bill Auction

High Yield 3.620%
Bid-to-cover 2.66
Sells $89 bln
Awards 56.71% of bids at high"
Mon Mar 30 15:28:46 +0000 2026,FinancialJuice,Fed's Powell ends speaking event at Harvard University.
Mon Mar 30 15:26:01 +0000 2026,FinancialJuice,"Fed's Powell: We don't know how big the energy shock will be, it's way too early to know."
Mon Mar 30 15:21:32 +0000 2026,FinancialJuice,"Israel's Prime Minister Netanyahu: Israel will seize the opportunity to push the border beyond the Litani River - Israel Hayom, citing sources."
Mon Mar 30 15:21:14 +0000 2026,FinancialJuice,"Israel's Prime Minister Netanyahu rejected a French ceasefire initiative - Israel Hayom, citing sources:"
Mon Mar 30 15:19:00 +0000 2026,FinancialJuice,Trump to NYT: We'll find out in about a week whether he is someone US can truly work with.
Mon Mar 30 15:18:23 +0000 2026,FinancialJuice,Trump: The US negotiating partner in Iran is Iran's Parliament Speaker Ghalibaf - NYT
Mon Mar 30 15:14:34 +0000 2026,FinancialJuice,Fed's Powell: It doesn't have the makings of a broader systemic event right now.
Mon Mar 30 15:14:10 +0000 2026,FinancialJuice,Fed's Powell: We don't see a contagion from private credit right now.
Mon Mar 30 15:14:03 +0000 2026,FinancialJuice,"Iran's Foreign Minister Araqchi to France’s Foreign Minister Barrot: Provocative actions by aggressors or their allies, including at the UN, will worsen the situation."
Mon Mar 30 15:06:44 +0000 2026,FinancialJuice,Fed's Powell: AI is making people more productive.
Mon Mar 30 15:06:38 +0000 2026,FinancialJuice,Federal Powell: There is no denying it is a challenging time to enter the job market
Mon Mar 30 15:06:29 +0000 2026,FinancialJuice,Fed's Powell: Very optimistic about the medium and long term.
Mon Mar 30 15:06:22 +0000 2026,FinancialJuice,Fed's Powell: The US economy remains dynamic and productive.
Mon Mar 30 15:06:14 +0000 2026,FinancialJuice,"Fed's Powell: The labour market is challenged by longer-term, secular forces."
Mon Mar 30 15:06:05 +0000 2026,FinancialJuice,"IMF: How the War in the Middle East is Affecting Energy, Trade, and Finance 
https://t.co/iJuYHeD6W5"
Mon Mar 30 15:05:43 +0000 2026,FinancialJuice,Iran arrests 46 in Starlink sales network and seizes devices - ISNA.
Mon Mar 30 15:03:36 +0000 2026,FinancialJuice,🔴Traders erase Fed hike bet and price in chance of cut this year.
Mon Mar 30 15:02:58 +0000 2026,FinancialJuice,IMF: War in the Middle East has caused serious disruption to countries in the region and is dimming the outlook for many others.
Mon Mar 30 15:02:51 +0000 2026,FinancialJuice,"IMF: Iran war threatens higher prices, slower growth for the world."
Mon Mar 30 14:58:25 +0000 2026,FinancialJuice,Fed's Powell: We are watching private credit closely.
Mon Mar 30 14:57:55 +0000 2026,FinancialJuice,Fed's Powell: private credit is a relatively small part of a large asset pool.
Mon Mar 30 14:57:01 +0000 2026,FinancialJuice,Fed's Powell: We have a resilient financial system now.
Mon Mar 30 14:56:16 +0000 2026,FinancialJuice,Fed's Powell: We shouldn't be trying to regulate risk out of existence.
Mon Mar 30 14:55:33 +0000 2026,FinancialJuice,Fed's Powell: We have significantly hardened the system against the kind of losses seen in the financial crisis.
Mon Mar 30 14:50:44 +0000 2026,FinancialJuice,Fed's Powell: We don't know what economic effects the current situation will have.
Mon Mar 30 14:50:36 +0000 2026,FinancialJuice,Fed's Powell: Not facing yet the question of what to do.
Mon Mar 30 14:50:30 +0000 2026,FinancialJuice,Fed's Powell: Inflation expectations appear to be well-anchored.
Mon Mar 30 14:50:23 +0000 2026,FinancialJuice,Fed's Powell: Fed's tools have no meaningful effect on supply shocks.
Mon Mar 30 14:50:16 +0000 2026,FinancialJuice,Bahrain bans maritime navigation and approaching the coasts at night until further notice. - Al Arabiya
Mon Mar 30 14:47:58 +0000 2026,FinancialJuice,"Fed's Powell: The tariff inflation is likely a one-time price increase, adding 0.5% to 1.0% to inflation."
Mon Mar 30 14:47:39 +0000 2026,FinancialJuice,"Fed's Powell: Tariff inflation is a one-time price increase, adding a half to a full pct point to inflation."
Mon Mar 30 14:45:42 +0000 2026,FinancialJuice,Fed's Powell: We are committed to getting inflation back to 2% on sustained basis.
Mon Mar 30 14:44:32 +0000 2026,FinancialJuice,Fed's Powell: We haven't really seen the downside risks to a large balance sheet that many had predicted.
Mon Mar 30 14:44:04 +0000 2026,FinancialJuice,Fed's Powell: I'd be in the camp that there is something to that.
Mon Mar 30 14:43:57 +0000 2026,FinancialJuice,Fed's Powell: Overall the research tends to find that buying long-term assets lowers rates and supports the economy.
Mon Mar 30 14:42:32 +0000 2026,FinancialJuice,Iran’s Foreign Minister Araghchi discussed the Middle East with his French counterpart.
Mon Mar 30 14:41:40 +0000 2026,FinancialJuice,Fed's Powell: There is tension between the Fed's two objectives.
Mon Mar 30 14:41:32 +0000 2026,FinancialJuice,Fed's Powell: Makes sense in this time that there is no unanimity.
Mon Mar 30 14:41:08 +0000 2026,FinancialJuice,"Iran's message to the US states that if the fighting against Hezbollah in Lebanon is not halted, Tehran will not be bound by the ceasefire with Israel. - Israel Today, citing Lebanese Report"
Mon Mar 30 14:36:58 +0000 2026,FinancialJuice,"Dallas Fed Manufacturing Business Index March Report
https://t.co/1wE79xEPGB"
Mon Mar 30 14:30:40 +0000 2026,FinancialJuice,"Dallas Fed Mfg. Bus. Index Actual -0.2 (Forecast 2, Previous 0.20)"
Mon Mar 30 14:29:43 +0000 2026,FinancialJuice,UKMTO: 2 projectiles splashed near a container vessel near Saudi Arabia.
